word,score
word,similarity
Dignity,1.0
dignity,0.9336474521040342
 Dignity,0.8996972585592491
Dignification,0.8094600400963977
 Dignification,0.7990408703557338
 Dignities,0.781173192583376
Dignified,0.7771112085619459
Dignifying,0.7598458827221808
dignification,0.7571182503860107
 dignification,0.749515020059379
Dignities,0.7488031959590784
 Dignifying,0.7470805113736325
 Dignify,0.7440296817822573
dignities,0.7406042501842691
 Dignified,0.738767557017969
Dignify,0.7243115531269169
dignified,0.7212796410745999
 dignified,0.7173256624036237
dignifying,0.7102704510520998
Dignation,0.7088450016905341
 dignity,0.7047499805069135
 dignities,0.693741321696202
dignation,0.6876592431149589
dignify,0.6750103828890434
 Dignation,0.6585296576430315
 dignifying,0.6582501883536189
 Indignity,0.6509512691304806
Indignity,0.6485714757000659
Self-respect,0.6426879146480917
Dignitary,0.6396917997808114
Dignotion,0.6332608484054214
 Dignitary,0.6329167223360239
 dignation,0.6314902772725752
Respectability,0.6280115628634987
 dignify,0.6277269313627077
Decency,0.6210236374942494
 self-respect,0.6159038355591664
indignity,0.6115495969613747
dignotion,0.607674383112483
self-respect,0.6073811111996911
Honor,0.6052208147554875
 Dignotion,0.6032375432201961
 decency,0.6022704127012256
Decence,0.5985228970430579
 Self-respect,0.5927080613577161
Respect,0.588819190189048
 indignity,0.5869640794226043
dignitary,0.5819742633315653
Honorableness,0.5810552411948825
decency,0.5740467362252726
Deign,0.5722156529903658
 Decency,0.5690448857787797
Decorum,0.5671303247124742
Nobleness,0.5660505113249193
 Decence,0.5656155443672112
 Honorableness,0.5638862462983116
 indignify,0.5591041075268489
 respectability,0.5588492276243812
Deference,0.5575423079326935
respectability,0.5572864467858857
Modesty,0.5560177238811966
Deignous,0.5555880066093414
 Respectability,0.55520367969339
Integrity,0.554583067284626
 dignitary,0.5490097864208905
Indignities,0.5488547096392636
Elegance,0.5479557598326013
Demurity,0.5465050571164796
Sanctity,0.5457667218120695
honorableness,0.5443180162413576
Decencies,0.5437006607332857
decence,0.5414681222240804
Elegancy,0.5380829457019453
Humility,0.5376639253993793
Pride,0.5364839466765257
 Sanctity,0.5353187081883337
 decorum,0.5352091070986618
Dignitaries,0.5342043346219274
Esteem,0.5333252326570108
 Indignities,0.5325282532400458
 Nobleness,0.5313900362927002
indignities,0.5304737221691178
 honorableness,0.5301919693102108
Indignancy,0.5300309245003473
modesty,0.528888670770546
 esteem,0.5280782308110501
honor,0.5240032207668159
Indignance,0.523107378647529
 sanctity,0.5225442446618598
Probity,0.5224596574731801
Respection,0.5221158391795281
indignancy,0.5220460336136749
decorum,0.5203459519333034
nobleness,0.5200823439550246
Undigne,0.5188124994495619
Daintiness,0.5184797428498805
integrity,0.516440891988499
sanctity,0.5160866851750598
dignitaries,0.5159839922185923